feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
SYN-ENH-062,2,V4_C2,3,C1.2
SYN-ENH-063,2,V4_C2,3,C1.2
SYN-ENH-064,2,V4_C2,3,C1.2
SYN-ENH-065,2,V4_C2,3,C1.2
SYN-ENH-066,0,V4_C0,9,C4.0
SYN-ENH-067,2,V4_C2,3,C1.2
SYN-ENH-068,2,V4_C2,3,C1.2
SYN-ENH-069,2,V4_C2,3,C1.2
SYN-ENH-070,2,V4_C2,3,C1.2
SYN-ENH-071,2,V4_C2,3,C1.2
SYN-ENH-072,2,V4_C2,3,C1.2
SYN-ENH-073,2,V4_C2,3,C1.2
SYN-ENH-074,0,V4_C0,9,C4.0
SYN-ENH-075,2,V4_C2,3,C1.2
SYN-ENH-076,2,V4_C2,3,C1.2
SYN-ENH-077,2,V4_C2,3,C1.2
SYN-ENH-078,2,V4_C2,3,C1.2
SYN-ENH-079,6,V4_C6,4,C1.3
SYN-ENH-080,6,V4_C6,4,C1.3
SYN-ENH-081,6,V4_C6,4,C1.3
SYN-ENH-082,6,V4_C6,4,C1.3
SYN-ENH-083,6,V4_C6,4,C1.3
SYN-ENH-084,6,V4_C6,4,C1.3
SYN-ENH-085,6,V4_C6,4,C1.3
SYN-ENH-086,6,V4_C6,4,C1.3
SYN-ENH-087,6,V4_C6,4,C1.3
SYN-ENH-088,6,V4_C6,4,C1.3
SYN-ENH-089,6,V4_C6,4,C1.3
SYN-ENH-090,6,V4_C6,4,C1.3
SYN-ENH-091,6,V4_C6,4,C1.3
SYN-ENH-092,0,V4_C0,9,C4.0
SYN-ENH-093,6,V4_C6,4,C1.3
SYN-ENH-094,6,V4_C6,4,C1.3
SYN-ENH-095,6,V4_C6,4,C1.3
SYN-ENH-096,6,V4_C6,4,C1.3
SYN-ENH-097,6,V4_C6,4,C1.3
SYN-ENH-098,6,V4_C6,4,C1.3
SYN-ENH-099,6,V4_C6,4,C1.3
SYN-ENH-100,6,V4_C6,4,C1.3
SYN-ENH-101,6,V4_C6,4,C1.3
SYN-ENH-102,6,V4_C6,4,C1.3
SYN-ENH-103,0,V4_C0,9,C4.0
